name,bus,control,p_nom_extendable,p_nom,capital_cost,marginal_cost
Wind,Power,PQ,TRUE,0,1730530,0
Solar,Power,PQ,TRUE,0,1018000,0
Hydro,Power,Slack,TRUE,0,2327920,0
